row_id,v2_common_hotel_id,city_id,slug,name,run_id,reason,detail,last_attempted_at
52,422,9658,burjuman-arjaan-by-rotana-dubai,burjuman arjaan by rotana dubai,20260818-145517,agoda_unreachable,"suggest failed: HTTPSConnectionPool(host='www.agoda.com', port=443): Max retries exceeded with url: /api/cronos/search/GetUnifiedSuggestResult/3/1/1/0/en-us/?searchText=burjuman%20arjaan%20by%20rotana%20dubai (Caused by NameResolutionError(""HTTPSConnection(host='www.agoda.com', port=443): Failed to ",2026-08-18T15:37:03
53,434,9658,oyo-109-smana-hotel-al-raffa,oyo 109 smana hotel al raffa,20260818-145517,no_agoda_match,no candidate above name threshold,2026-08-18T16:08:52
54,435,9658,hyde-park-hotel,hyde park hotel,20260818-145517,no_agoda_match,rejected 'Hyde Park Hotel Bangkok' name=100% strict=79% dist=4887.85km same_city=False,2026-08-18T16:09:00
55,436,9658,london-crown-hotel,london crown hotel,20260818-145517,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T16:09:34
56,439,9658,milestone-hotel-apartments,milestone hotel apartments,20260818-145517,no_agoda_match,rejected 'Milestone Boutique Apartments' name=87% strict=87% dist=5883.53km same_city=False,2026-08-18T16:11:26
57,448,9658,oyo-160-lumbini-dream-garden-guest-house-llc,oyo 160 lumbini dream garden guest house llc,20260818-145517,no_agoda_match,no candidate above name threshold,2026-08-18T16:24:53
58,457,9658,dubai-creek-club-villas,dubai creek club villas,20260818-145517,no_agoda_match,no candidate above name threshold,2026-08-18T16:32:25
59,607,1280,ja-ocean-view-hotel,ja ocean view hotel,20260818-145517,no_agoda_match,rejected 'OKINAWA PRINCE HOTEL OCEAN VIEW GINOWAN' name=91% strict=55% dist=7172.49km same_city=False,2026-08-18T16:47:25
60,617,1280,al-raya-hotel-apartments,al raya hotel apartments,20260818-145517,no_agoda_match,rejected 'Al Raya Apartments' name=100% strict=86% dist=2557.31km same_city=False,2026-08-18T16:56:18
61,618,1280,al-waleed-palace-hotel-apartments-oud-metha-799,al waleed palace hotel apartments oud metha,20260818-145517,no_agoda_match,rejected 'Dunes Hotel Apartment Oud Metha' name=73% strict=70% dist=0.86km same_city=True,2026-08-18T16:56:22
62,619,1280,flora-al-souq-hotel-928,flora al souq hotel,20260818-145517,no_agoda_match,rejected 'Flora Al Barsha Hotel at the Mall' name=85% strict=58% dist=20.18km same_city=True,2026-08-18T16:56:29
63,620,1280,pride-hotel-apartments-624,pride hotel apartments,20260818-145517,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T16:57:25
64,623,1280,jood-palace-hotel-dubai,jood palace hotel dubai,20260818-145517,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T16:59:40
65,628,1280,al-muraqabat-plaza-hotel-apartments-517,al muraqabat plaza hotel apartments,20260818-145517,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T17:03:42
66,629,1280,lavender-hotel-hotel-apartments-al-nahda,lavender hotel & hotel apartments al nahda,20260818-145517,no_agoda_match,"rejected 'Lavender Apartments': individually-listed accommodation (Apartment/Flat), not the hotel",2026-08-18T17:03:48
67,632,1280,claridge-hotel-dubai-945,claridge hotel dubai,20260818-145517,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T17:04:26
68,634,1280,grand-mayfair-hotel,grand mayfair hotel,20260818-145517,no_agoda_match,rejected 'Hotel Grand Mayfair' name=100% strict=100% dist=3839.09km same_city=False,2026-08-18T17:04:55
69,638,1280,copthorne-lakeview-executive-apartments-dubai-green-community,"copthorne lakeview executive apartments dubai, green community",20260818-145517,no_agoda_match,rejected 'Copthorne Hotel and Apartments Queenstown Lakeview' name=73% strict=58% dist=13752.29km same_city=False,2026-08-18T17:12:29
70,642,1280,pullman-dubai-creek-city-centre-427,pullman dubai creek city centre,20260818-145517,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T17:13:54
71,643,1280,emirates-concorde-hotel-apartments,emirates concorde hotel & apartments,20260818-145517,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T17:14:32
72,646,1280,doubletree-by-hilton-hotel-and-residences-dubai-al-barsha-632,doubletree by hilton hotel and residences dubai al barsha,20260818-145517,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T17:20:45
73,404,9658,al-waleed-palace-hotel-apartments-oud-metha,al waleed palace hotel apartments oud metha,20260818-202648,no_agoda_match,rejected 'Dunes Hotel Apartment Oud Metha' name=73% strict=70% dist=0.86km same_city=True,2026-08-18T20:29:02
74,410,9658,panorama-bur-dubai-hotel,panorama bur dubai hotel,20260818-202648,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T20:32:44
75,412,9658,palm-beach-hotel,palm beach hotel,20260818-202648,no_agoda_match,rejected 'Jomtien Palm Beach Hotel & Resort - Family-Friendly' name=100% strict=48% dist=4957.17km same_city=False,2026-08-18T20:33:21
76,414,9658,imperial-suites-hotel,imperial suites hotel,20260818-202648,no_agoda_match,rejected 'HOTEL IMPERIAL SUITES' name=100% strict=100% dist=1930.31km same_city=False,2026-08-18T20:33:49
77,417,9658,rush-inn-hotel,rush inn hotel,20260818-202648,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T20:35:24
78,419,9658,pearl-residence-hotel-apartments,pearl residence hotel apartments,20260818-202648,no_agoda_match,rejected 'North Pearl Residence Apartments' name=91% strict=91% dist=2258.11km same_city=False,2026-08-18T20:36:02
79,404,9658,al-waleed-palace-hotel-apartments-oud-metha,al waleed palace hotel apartments oud metha,20260818-203722,no_agoda_match,rejected 'Dunes Hotel Apartment Oud Metha' name=73% strict=70% dist=0.86km same_city=True,2026-08-18T20:37:31
80,412,9658,palm-beach-hotel,palm beach hotel,20260818-203722,no_agoda_match,rejected 'Jomtien Palm Beach Hotel & Resort - Family-Friendly' name=100% strict=48% dist=4957.17km same_city=False,2026-08-18T20:39:37
81,414,9658,imperial-suites-hotel,imperial suites hotel,20260818-203722,no_agoda_match,rejected 'HOTEL IMPERIAL SUITES' name=100% strict=100% dist=1930.31km same_city=False,2026-08-18T20:39:40
82,419,9658,pearl-residence-hotel-apartments,pearl residence hotel apartments,20260818-203722,no_agoda_match,rejected 'North Pearl Residence Apartments' name=91% strict=91% dist=2258.11km same_city=False,2026-08-18T20:40:36
83,422,9658,burjuman-arjaan-by-rotana-dubai,burjuman arjaan by rotana dubai,20260818-203722,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T20:41:31
84,404,9658,al-waleed-palace-hotel-apartments-oud-metha,al waleed palace hotel apartments oud metha,20260818-222232,no_agoda_match,rejected 'Dunes Hotel Apartment Oud Metha' name=73% strict=70% dist=0.86km same_city=True,2026-08-18T22:24:31
85,410,9658,panorama-bur-dubai-hotel,panorama bur dubai hotel,20260818-222232,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T22:28:27
86,412,9658,palm-beach-hotel,palm beach hotel,20260818-222232,no_agoda_match,rejected 'Jomtien Palm Beach Hotel & Resort - Family-Friendly' name=100% strict=48% dist=4957.17km same_city=False,2026-08-18T22:29:06
87,414,9658,imperial-suites-hotel,imperial suites hotel,20260818-222232,no_agoda_match,rejected 'HOTEL IMPERIAL SUITES' name=100% strict=100% dist=1930.31km same_city=False,2026-08-18T22:29:34
88,417,9658,rush-inn-hotel,rush inn hotel,20260818-222232,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T22:31:08
89,404,9658,al-waleed-palace-hotel-apartments-oud-metha,al waleed palace hotel apartments oud metha,20260819-124133,no_agoda_match,rejected 'Dunes Hotel Apartment Oud Metha' name=73% strict=70% dist=0.86km same_city=True,2026-08-19T12:43:07
90,404,9658,al-waleed-palace-hotel-apartments-oud-metha,al waleed palace hotel apartments oud metha,20260819-124352,no_agoda_match,rejected 'Dunes Hotel Apartment Oud Metha' name=73% strict=70% dist=0.86km same_city=True,2026-08-19T12:46:02
91,403,9658,nihal-residency-hotel-apartments,nihal residency hotel apartments,20260819-124654,error,BrokenPipeError: [Errno 32] Broken pipe,2026-08-19T12:47:04
92,404,9658,al-waleed-palace-hotel-apartments-oud-metha,al waleed palace hotel apartments oud metha,20260819-130619,no_agoda_match,rejected 'Dunes Hotel Apartment Oud Metha' name=73% strict=70% dist=0.86km same_city=True,2026-08-19T13:07:46
93,403,9658,nihal-residency-hotel-apartments,nihal residency hotel apartments,20260819-130619,resolved,,2026-08-19T13:08:17
