id,mime_type,attachment_url,attachment_size,attachable_type,attachable_id,category,created_at,updated_at
3809262,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/f7cfeb277c3451d62de18092728f69e6.jpg,MED,App\Models\Hotels\Room,1663,room-image,2026-08-12 11:27:29,2026-08-12 11:27:29
3809263,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/f1d213ca46130f0df589c51e387d2fd2.jpg,MED,App\Models\Hotels\Room,1663,room-image,2026-08-12 11:27:29,2026-08-12 11:27:29
3809264,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/162e100529697ae163e1b76789c483f2.jpg,MED,App\Models\Hotels\Room,1663,room-image,2026-08-12 11:27:30,2026-08-12 11:27:30
3809265,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/71283711c8db7aedbe1d94d67040a47f.jpg,MED,App\Models\Hotels\Room,1663,room-image,2026-08-12 11:27:30,2026-08-12 11:27:30
3809281,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/fff37c983589248c5b194e171f26590e.jpg,MED,App\Models\Hotels\Room,1664,room-image,2026-08-12 11:27:31,2026-08-12 11:27:31
3809282,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/8f28e74138fad41c2bc7f296d323a501.jpg,MED,App\Models\Hotels\Room,1664,room-image,2026-08-12 11:27:31,2026-08-12 11:27:31
3809283,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/8ec6c2c977364227ea1fad9226a274ba.jpg,MED,App\Models\Hotels\Room,1664,room-image,2026-08-12 11:27:31,2026-08-12 11:27:31
3809284,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/6a4bbc836edae41ec95b90a64c27de43.jpg,MED,App\Models\Hotels\Room,1664,room-image,2026-08-12 11:27:31,2026-08-12 11:27:31
3809325,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/cd3a6439b93caaa6e2c59d9815441ba6.jpg,MED,App\Models\Hotels\Room,1710,room-image,2026-08-12 11:32:56,2026-08-12 11:32:56
3809326,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/8f28e74138fad41c2bc7f296d323a501.jpg,MED,App\Models\Hotels\Room,1710,room-image,2026-08-12 11:32:56,2026-08-12 11:32:56
